"StartYear","country","Response","TaskID"
2000,"France","abundance",1
2000,"Spain","abundance",2
2000,"Sweden","abundance",3
2000,"Denmark","abundance",4
2000,"UK","abundance",5
2000,"Ireland","abundance",6
2000,"Norway","abundance",7
2000,"Portugal","abundance",8
2000,"Netherlands","abundance",9
2000,"Finland","abundance",10
2000,"Latvia","abundance",11
2001,"France","abundance",12
2001,"Spain","abundance",13
2001,"Sweden","abundance",14
2001,"Denmark","abundance",15
2001,"UK","abundance",16
2001,"Ireland","abundance",17
2001,"Norway","abundance",18
2001,"Portugal","abundance",19
2001,"Netherlands","abundance",20
2001,"Finland","abundance",21
2001,"Latvia","abundance",22
2002,"France","abundance",23
2002,"Spain","abundance",24
2002,"Sweden","abundance",25
2002,"Denmark","abundance",26
2002,"UK","abundance",27
2002,"Ireland","abundance",28
2002,"Norway","abundance",29
2002,"Portugal","abundance",30
2002,"Netherlands","abundance",31
2002,"Finland","abundance",32
2002,"Latvia","abundance",33
2003,"France","abundance",34
2003,"Spain","abundance",35
2003,"Sweden","abundance",36
2003,"Denmark","abundance",37
2003,"UK","abundance",38
2003,"Ireland","abundance",39
2003,"Norway","abundance",40
2003,"Portugal","abundance",41
2003,"Netherlands","abundance",42
2003,"Finland","abundance",43
2003,"Latvia","abundance",44
2004,"France","abundance",45
2004,"Spain","abundance",46
2004,"Sweden","abundance",47
2004,"Denmark","abundance",48
2004,"UK","abundance",49
2004,"Ireland","abundance",50
2004,"Norway","abundance",51
2004,"Portugal","abundance",52
2004,"Netherlands","abundance",53
2004,"Finland","abundance",54
2004,"Latvia","abundance",55
2005,"France","abundance",56
2005,"Spain","abundance",57
2005,"Sweden","abundance",58
2005,"Denmark","abundance",59
2005,"UK","abundance",60
2005,"Ireland","abundance",61
2005,"Norway","abundance",62
2005,"Portugal","abundance",63
2005,"Netherlands","abundance",64
2005,"Finland","abundance",65
2005,"Latvia","abundance",66
2006,"France","abundance",67
2006,"Spain","abundance",68
2006,"Sweden","abundance",69
2006,"Denmark","abundance",70
2006,"UK","abundance",71
2006,"Ireland","abundance",72
2006,"Norway","abundance",73
2006,"Portugal","abundance",74
2006,"Netherlands","abundance",75
2006,"Finland","abundance",76
2006,"Latvia","abundance",77
2007,"France","abundance",78
2007,"Spain","abundance",79
2007,"Sweden","abundance",80
2007,"Denmark","abundance",81
2007,"UK","abundance",82
2007,"Ireland","abundance",83
2007,"Norway","abundance",84
2007,"Portugal","abundance",85
2007,"Netherlands","abundance",86
2007,"Finland","abundance",87
2007,"Latvia","abundance",88
2008,"France","abundance",89
2008,"Spain","abundance",90
2008,"Sweden","abundance",91
2008,"Denmark","abundance",92
2008,"UK","abundance",93
2008,"Ireland","abundance",94
2008,"Norway","abundance",95
2008,"Portugal","abundance",96
